commons-validator,commons-validator,1.3.1,"Apache License, Version 2.0",http://commons.apache.org/validator/license.html,ivy
dom4j,dom4j,1.6.1,BSD,http://dom4j.sourceforge.net/dom4j-1.6.1/license.html,
dom4j,dom4j,1.6.1,BSD,,licenceDb
hsqldb,hsqldb,1.8.0.10,New BSD License,http://hsqldb.org/web/hsqlLicense.html,
javassist,javassist,3.11.0.GA,"MPL, LGPL, Apache",http://www.csg.ci.i.u-tokyo.ac.jp/~chiba/javassist/,
javassist,javassist,3.12.0.GA,"MPL, LGPL, or Apache License.",http://www.jboss.org/javassist,ivy
javax.activation,activation,1.1,CDDL (Common Development and Distribution License),http://www.jarvana.com/jarvana/inspect-pom/javax/activation/activation/1.1/activation-1.1.pom,
javax.activation,activation,1.1,Common Development and Distribution License (CDDL) v1.0,https://glassfish.dev.java.net/public/CDDLv1.0.html,ivy
javax.comm,comm,2.0.3,Binary Code License Agreement,http://java.sun.com/products/javacomm/COMM3.0_license.txt,
javax.comm,comm,2.0.3,Binary Code License Agreement,,licenceDb
javax.mail,mail,1.4.3,CDDL (Common Development and Distribution License),http://www.grepcode.com/snapshot/repo1.maven.org/maven2/javax.mail/mail/1.4.3,
javax.mail,mail,1.4.4,"Oracle Corporation (""ORACLE"")",http://download.oracle.com/otn-pub/java/javamail/1.4.4/javamail1_4_4.zip,
javax.servlet,jstl,1.1.2,Apache 2.0 licence,http://www.jarvana.com/jarvana/inspect-pom/org/hdiv/hdiv-jstl-taglibs-1.1.2/2.0.3/hdiv-jstl-taglibs-1.1.2-2.0.3.pom,
javax.servlet,jstl,1.1.2,Apache 2.0 licence,,licenceDb
javax.transaction,jta,1.1,CDDL (Common Development and Distribution License),http://grepcode.com/file/repo1.maven.org/maven2/javax.transaction/jta/1.1/javax/transaction/UserTransaction.java,
javax.transaction,jta,1.1,CDDL (Common Development and Distribution License),,licenceDb
javax.validation,validation-api,1.0.0.GA,"Apache License, Version 2.0",license.txt,ivy
junit,junit,3.8.1,Common Public License Version 1.0,http://grepcode.com/snapshot/repo1.maven.org/maven2/junit/junit/3.8.1,
junit,junit,3.8.1,Common Public License Version 1.0,http://junit.sourceforge.net/cpl-v10.html,
junit,junit,3.8.1,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,ivy
junit,junit,3.8.1,Public License Version 1.0,http://search-hadoop.com/c/Hive:/testlibs/junit-3.8.1.LICENSE.txt,
log4j,log4j,1.2.15,Apache 2.0 licence,http://grepcode.com/snapshot/repo1.maven.org/maven2/log4j/log4j/1.2.15,
log4j,log4j,1.2.16,Apache 2.0 licence,http://logging.apache.org/log4j/1.2/license.html,
log4j,log4j,1.2.16,"Apache License, Version 2.0",http://logging.apache.org/log4j/1.2/license.html,ivy
log4j,log4j,1.2.9,Apache 1.1 licence,http://source.appfuse.org/browse/appfuse/trunk/lib/jakarta-log4j-1.2.9/LICENSE.txt?r=923,
log4j,log4j by,1.2.16,Apache 2.0 licence,http://logging.apache.org/log4j/1.2/license.html,
net.frontlinesms.core,at-modem-detector,0.1- SNAPSHOT,,,
net.frontlinesms.core,at-modem-detector,0.8,,,
net.frontlinesms.core,camel-smslib,0.0.2-SNAPSHOT,,,
net.frontlinesms.core,camel-smslib,0.0.5,"Apache License, Version 2.0",http://camel.apache.org/what-is-the-license.html,
net.frontlinesms.core,serial,1.0.0,,,
net.frontlinesms.core,serial,1.0.1,,,
net.frontlinesms.core,serial,1.0.1-SNAPSHOT,,,
net.frontlinesms.core,serial,1.0.1- SNAPSHOT,Apache 2.0 licence,http://openjpa.apache.org/license.html,
net.frontlinesms.core,smslib,1.1.0-SNAPSHOT,,,
net.frontlinesms.core,smslib,1.1.1,"Apache License, Version 2.0",http://smslib.org/,
net.frontlinesms,frontlinesms-test,0.01.01,GNU Lesser General Public Licence,https://github.com/alxndrsn/frontlinesms-plugin-httptrigger/blob/master/pom.xml.releaseBackup,
net.frontlinesms,frontlinesms-test,0.01.01,GNU Lesser General Public License,,
net.frontlinesms,frontlinesms-test,0.01.01,GNU Lesser General Public License v3,https://github.com/alxndrsn/frontlinesms-pom-parent/blob/master/pom.xml,
net.frontlinesms,frontlinesms-test,0.01.01,GNU Lesser General Public License v3 or later,http://www.gnu.org/copyleft/lesser.html,ivy
net.frontlinesms.test,frontlinesms-test,0.1.2,GNU Lesser General Public License v3 or later,http://www.gnu.org/copyleft/lesser.html,ivy
net.frontlinesms.test,hayescommandset-test,0.0.2-SNAPSHOT,,,
